Effective water- to-cement ratio,Aggregate-to-cement ratio (a/c),RCA replacement ratio (RCA %),Parent concrete strength(MPa),Nominal maximum RCA size(mm),Nominal maximum NA size(mm),Water absorption of RCA(WARCA) (%),Water absorption of NA,Los Angeles abrasion of RCA,Los Angeles abrasion of NA,Compressive strength (f’c) (MPa)
0.4,3.1,50.0,42.71818181818182,12.0,30.0,6.8,3.0,36.540740740740745,25.13953488372093,43.3
0.41,2.2,100.0,42.71818181818182,30.0,30.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,41.9
0.41,1.7,30.0,42.71818181818182,20.0,20.0,4.0,0.7,36.540740740740745,25.13953488372093,49.9
0.59,3.2,10.0,37.3,12.0,20.0,10.9,0.6,36.540740740740745,25.13953488372093,40.0
0.58,2.8,100.0,42.71818181818182,19.0,19.0,5.3,1.1553691275167786,37.0,25.13953488372093,43.1
0.55,4.03,50.0,42.71818181818182,21.5609756097561,22.30243902439024,2.7,1.2,36.540740740740745,25.13953488372093,24.3
0.55,3.9,25.0,42.71818181818182,25.0,19.0,4.4,0.9,36.540740740740745,25.13953488372093,42.0
0.41,2.9,0.0,42.71818181818182,22.0,20.0,5.158959537572255,1.3,36.540740740740745,25.13953488372093,70.5
0.67,3.0,50.0,42.71818181818182,20.0,19.0,5.3,1.8,42.0,31.0,32.0
0.45,3.3,0.0,42.71818181818182,20.0,30.0,5.158959537572255,2.5,36.540740740740745,25.13953488372093,51.2
0.59,3.3,20.0,42.71818181818182,20.0,20.0,5.3,1.8,42.0,31.0,41.0
0.45,2.5,30.0,38.4,20.0,20.0,5.8,0.9,36.540740740740745,25.13953488372093,37.0
0.37,2.9,30.0,42.71818181818182,32.0,32.0,6.0,0.3,36.540740740740745,25.13953488372093,37.2
0.44,2.4,100.0,42.71818181818182,20.0,20.0,3.1,1.1553691275167786,36.540740740740745,25.13953488372093,60.0
0.47,3.2,100.0,42.71818181818182,32.0,22.0,4.4,1.1553691275167786,36.540740740740745,25.13953488372093,40.3
0.29,2.6,100.0,60.0,10.0,10.0,4.9,1.1553691275167786,25.2,25.13953488372093,70.5
0.48,3.4,100.0,42.71818181818182,20.0,22.0,5.3,1.1553691275167786,36.540740740740745,25.13953488372093,21.0
0.44,2.7,50.0,42.71818181818182,19.0,19.0,5.3,0.5,37.0,23.0,61.2
0.31,2.87,0.0,42.71818181818182,21.5609756097561,22.30243902439024,7.16,0.5,36.540740740740745,25.13953488372093,70.5
0.45,3.163619047619047,20.0,42.71818181818182,21.5609756097561,22.30243902439024,6.1,1.2,59.8,25.13953488372093,29.0
0.35,3.29,50.0,42.71818181818182,21.5609756097561,22.30243902439024,2.7,1.2,36.540740740740745,25.13953488372093,47.0
0.49,3.163619047619047,50.0,42.71818181818182,7.0,7.0,4.08,1.96,36.540740740740745,25.13953488372093,41.2
0.52,2.9,100.0,42.71818181818182,25.0,32.0,5.3,1.1553691275167786,36.540740740740745,25.13953488372093,44.7
0.52,3.0,100.0,42.71818181818182,25.0,20.0,2.9,1.1553691275167786,36.540740740740745,25.13953488372093,43.3
0.5,3.2,50.0,42.71818181818182,12.0,30.0,6.8,3.0,36.540740740740745,25.13953488372093,38.1
0.38,2.0,70.0,42.71818181818182,32.0,32.0,6.0,0.3,36.540740740740745,25.13953488372093,36.7
0.64,3.4,100.0,42.71818181818182,22.0,22.0,5.8,1.1553691275167786,36.540740740740745,25.13953488372093,39.7
0.41,1.7,60.0,42.71818181818182,20.0,32.0,4.0,0.7,36.540740740740745,25.13953488372093,40.6
0.58,2.8,100.0,42.71818181818182,20.0,20.0,5.3,1.1553691275167786,42.0,25.13953488372093,33.5
0.41,1.7,15.0,42.71818181818182,20.0,20.0,3.5,0.7,36.540740740740745,25.13953488372093,45.0
